English1,M1,Physics,CP,EVS,Mechanics,English2,M2,PEM,Engg.Drawing,MEFA,CPP,DS,MFCS,DLD,Prob_Stat,Java,ADS,CO,FLAT,CD,Data_communication,PPL,DBMS,OS,Placed_Status
52,26,66,67,67,55,61,51,63,60,45,83,59,49,46,50,53,62,72,56,57,54,73,59,67,0
62,68,68,73,73,81,74,93,73,57,71,71,87,78,82,97,65,78,66,74,79,70,61,79,47,1
57,23,40,45,72,29,59,21,51,29,60,64,58,53,40,35,48,61,52,53,64,47,53,55,49,0
80,21,49,45,76,25,60,34,62,54,60,66,62,68,45,52,78,65,60,52,45,65,65,71,22,0
50,14,17,57,44,43,45,17,67,46,29,50,30,24,23,28,40,42,52,22,47,27,41,49,60,0
62,35,44,64,60,74,65,71,64,70,68,59,68,68,67,69,52,54,58,41,53,54,40,48,37,1
55,14,20,30,74,15,58,19,27,62,32,63,48,28,28,54,49,55,60,47,50,46,52,55,51,0
70,47,49,53,67,62,66,61,56,73,50,60,57,73,64,59,65,60,80,51,60,86,72,57,52,0
56,21,27,64,56,54,57,43,69,60,46,49,51,52,68,41,46,69,58,62,54,65,73,56,78,0
78,79,71,80,72,97,79,98,77,72,81,67,98,81,71,97,67,68,80,84,84,71,77,85,52,1
53,44,40,66,76,61,70,61,64,61,57,65,58,52,59,73,59,74,71,55,71,71,67,66,60,0
72,95,70,83,72,74,59,57,65,79,60,90,70,93,83,87,70,75,79,66,77,84,81,81,51,0
78,75,69,89,92,91,69,85,70,81,62,89,64,68,80,92,58,79,99,89,65,70,90,68,28,1
62,6,14,40,48,14,49,16,55,26,45,20,48,52,40,21,36,43,37,33,26,35,23,51,59,0
73,60,58,63,92,55,81,70,57,79,57,90,66,72,81,74,72,76,82,69,78,73,71,70,59,1
90,76,82,75,78,68,71,56,58,86,71,92,74,89,81,76,69,69,92,66,77,73,84,88,55,0
66,83,50,77,83,68,69,81,67,80,58,98,75,98,84,78,80,81,92,86,84,71,88,82,69,1
71,71,67,78,72,98,68,98,72,72,72,79,72,77,55,87,75,78,69,63,74,66,61,85,34,1
61,57,21,55,83,29,64,64,60,55,51,69,52,60,61,62,46,71,61,53,72,65,54,67,51,0
64,45,66,57,63,51,51,32,71,62,52,71,54,59,45,65,57,47,58,53,54,56,29,66,52,0
49,20,24,57,43,27,63,41,58,36,35,48,40,26,47,76,56,68,76,29,58,60,76,62,65,0
60,46,43,50,68,51,72,78,66,51,66,70,61,55,50,41,60,55,62,49,49,60,55,73,73,0
75,59,60,79,82,66,73,64,64,73,51,77,63,53,83,80,76,78,67,55,85,68,75,76,66,1
72,46,64,63,76,67,61,49,86,75,69,87,73,93,67,45,66,68,71,81,58,72,68,81,34,0
65,20,25,49,37,43,59,50,53,45,32,54,43,41,51,55,29,60,59,45,58,45,61,67,72,1
72,80,58,71,71,94,69,96,64,82,76,63,71,70,55,95,78,71,63,73,68,63,59,79,62,0
52,52,40,31,74,45,69,61,65,30,60,58,60,60,57,72,66,70,66,67,67,59,42,61,54,0
61,15,40,26,68,45,61,43,79,45,54,64,63,53,35,48,51,72,71,64,53,68,74,61,20,0
47,15,15,49,18,18,44,29,32,22,26,30,25,22,30,41,30,40,21,19,28,35,29,29,58,0
59,41,21,58,62,44,64,57,65,33,58,67,62,49,46,36,63,48,61,55,49,50,58,64,60,0
62,32,40,37,85,28,65,48,67,71,55,63,64,61,57,82,55,76,69,32,63,55,62,60,76,1
84,77,65,84,73,75,65,70,70,69,70,92,74,75,81,70,54,65,59,74,73,79,78,82,50,1
61,45,43,73,82,63,64,71,69,51,63,68,70,77,52,81,59,72,84,97,72,55,83,67,57,1
72,65,51,72,66,87,77,89,67,91,73,81,87,69,72,83,69,75,72,66,57,64,67,74,44,1
30,17,13,31,71,21,54,24,50,52,17,46,56,24,20,45,46,45,43,23,41,48,47,50,65,0
83,59,62,65,76,64,70,63,76,78,69,82,68,61,86,48,56,77,81,72,65,81,82,91,34,1
54,19,18,50,26,25,44,48,57,20,53,46,37,47,42,73,53,50,48,49,46,35,62,49,72,0
73,86,72,88,70,94,72,97,75,88,75,78,80,72,88,89,72,62,73,80,66,79,80,77,60,1
84,76,78,80,90,72,86,86,71,89,81,95,74,73,78,95,83,90,99,78,94,88,87,94,50,1
63,41,28,31,64,50,63,46,70,61,57,71,47,24,60,59,56,63,62,64,55,58,68,70,65,0
62,19,40,56,47,53,58,54,69,32,62,33,57,49,55,74,52,74,64,63,70,63,77,72,73,0
66,72,65,81,85,77,66,85,67,95,66,81,83,77,54,92,61,75,58,76,69,69,68,72,61,1
69,24,42,34,68,29,65,48,87,73,54,65,57,52,55,63,51,80,77,53,67,60,80,69,57,0
46,64,42,61,62,45,61,53,73,51,53,54,52,46,55,44,58,66,74,71,66,54,63,64,73,0
64,69,27,68,73,85,57,92,74,73,74,56,83,91,75,74,63,87,86,91,79,61,83,83,63,0
71,45,43,48,98,56,73,59,67,67,65,62,69,64,47,47,66,68,64,62,54,71,75,62,63,0
82,68,66,76,77,69,79,71,78,84,64,87,70,68,80,85,67,88,83,74,85,57,77,94,58,1
